,precision,recall,f1-score,support
apple leaf,0.07142857142857142,0.05,0.058823529411764705,20.0
apple rust leaf,0.6,0.09375,0.16216216216216217,32.0
apple scab leaf,0.0,0.0,0.0,32.0
bell pepper leaf,0.0,0.0,0.0,8.0
bell pepper leaf spot,0.0,0.0,0.0,9.0
blueberry leaf,0.0,0.0,0.0,11.0
cherry leaf,0.0,0.0,0.0,10.0
corn gray leaf spot,0.0,0.0,0.0,15.0
corn leaf,0.11594202898550725,0.7272727272727273,0.2,11.0
corn leaf blight,0.0,0.0,0.0,23.0
corn rust leaf,0.0,0.0,0.0,21.0
grape leaf,0.0,0.0,0.0,12.0
grape leaf black rot,0.14285714285714285,0.25,0.18181818181818182,8.0
peach leaf,0.0,0.0,0.0,9.0
potato leaf blight,0.0,0.0,0.0,11.0
potato leaf early blight,0.0,0.0,0.0,8.0
potato leaf late blight,0.012048192771084338,0.125,0.02197802197802198,8.0
potato leafroll virus,0.0,0.0,0.0,11.0
raspberry leaf,0.0,0.0,0.0,7.0
soyabean leaf,0.08163265306122448,0.5,0.14035087719298245,8.0
squash powdery mildew leaf,0.0,0.0,0.0,6.0
strawberry leaf,0.5,0.125,0.2,8.0
tomato leaf,0.0,0.0,0.0,19.0
tomato leaf bacterial spot,0.058823529411764705,0.05,0.05405405405405406,20.0
tomato leaf early blight,0.0,0.0,0.0,20.0
tomato leaf late blight,0.13333333333333333,0.09523809523809523,0.1111111111111111,21.0
tomato leaf mosaic virus,0.028169014084507043,0.2,0.04938271604938271,10.0
tomato leaf powdery mildew,0.0,0.0,0.0,11.0
tomato leaf yellow virus,0.0,0.0,0.0,6.0
tomato mold leaf,0.019230769230769232,0.058823529411764705,0.028985507246376812,17.0
tomato septoria leaf spot,0.0,0.0,0.0,22.0
accuracy,0.059907834101382486,0.059907834101382486,0.059907834101382486,0.059907834101382486
macro avg,0.056885975327867884,0.07338981780395443,0.03898923100077541,434.0
weighted avg,0.07461133977633885,0.059907834101382486,0.03990744613694613,434.0
