,precision,recall,f1-score,support
apple leaf,0.16666666666666666,0.05,0.07692307692307693,20.0
apple rust leaf,0.4230769230769231,0.34375,0.3793103448275862,32.0
apple scab leaf,0.23529411764705882,0.125,0.16326530612244897,32.0
bell pepper leaf,1.0,0.125,0.2222222222222222,8.0
bell pepper leaf spot,0.09090909090909091,0.1111111111111111,0.1,9.0
blueberry leaf,0.0,0.0,0.0,11.0
cherry leaf,0.0,0.0,0.0,10.0
corn gray leaf spot,0.20689655172413793,0.4,0.2727272727272727,15.0
corn leaf,0.3684210526315789,0.6363636363636364,0.4666666666666667,11.0
corn leaf blight,0.5555555555555556,0.21739130434782608,0.3125,23.0
corn rust leaf,0.5454545454545454,0.2857142857142857,0.375,21.0
grape leaf,0.0,0.0,0.0,12.0
grape leaf black rot,0.25,0.25,0.25,8.0
peach leaf,0.25,0.2222222222222222,0.23529411764705882,9.0
potato leaf blight,0.09523809523809523,0.18181818181818182,0.125,11.0
potato leaf early blight,0.23076923076923078,0.375,0.2857142857142857,8.0
potato leaf late blight,0.0,0.0,0.0,8.0
potato leafroll virus,0.3333333333333333,0.09090909090909091,0.14285714285714285,11.0
raspberry leaf,0.05,0.14285714285714285,0.07407407407407407,7.0
soyabean leaf,0.14285714285714285,0.25,0.18181818181818182,8.0
squash powdery mildew leaf,0.19230769230769232,0.8333333333333334,0.3125,6.0
strawberry leaf,0.2,0.75,0.3157894736842105,8.0
tomato leaf,0.0,0.0,0.0,19.0
tomato leaf bacterial spot,0.2857142857142857,0.1,0.14814814814814814,20.0
tomato leaf early blight,0.06666666666666667,0.05,0.05714285714285714,20.0
tomato leaf late blight,0.34782608695652173,0.38095238095238093,0.36363636363636365,21.0
tomato leaf mosaic virus,0.08888888888888889,0.4,0.14545454545454545,10.0
tomato leaf powdery mildew,0.14285714285714285,0.18181818181818182,0.16,11.0
tomato leaf yellow virus,0.22727272727272727,0.8333333333333334,0.35714285714285715,6.0
tomato mold leaf,0.09090909090909091,0.058823529411764705,0.07142857142857142,17.0
tomato septoria leaf spot,0.3333333333333333,0.045454545454545456,0.08,22.0
accuracy,0.2073732718894009,0.2073732718894009,0.2073732718894009,0.2073732718894009
macro avg,0.2232338135732164,0.24002749289183992,0.18305211316895384,434.0
weighted avg,0.24589779487420693,0.2073732718894009,0.18816461821027414,434.0
