,precision,recall,f1-score,support
apple leaf,0.7857142857142857,0.55,0.6470588235294118,20.0
apple rust leaf,0.84,0.65625,0.7368421052631579,32.0
apple scab leaf,0.6923076923076923,0.5625,0.6206896551724138,32.0
bell pepper leaf,0.3,0.375,0.3333333333333333,8.0
bell pepper leaf spot,0.3333333333333333,0.2222222222222222,0.26666666666666666,9.0
blueberry leaf,0.0,0.0,0.0,11.0
cherry leaf,0.45454545454545453,0.5,0.47619047619047616,10.0
corn gray leaf spot,0.6,0.6,0.6,15.0
corn leaf,0.75,0.8181818181818182,0.782608695652174,11.0
corn leaf blight,0.631578947368421,0.5217391304347826,0.5714285714285714,23.0
corn rust leaf,0.7142857142857143,0.9523809523809523,0.8163265306122449,21.0
grape leaf,0.75,0.75,0.75,12.0
grape leaf black rot,0.5,0.75,0.6,8.0
peach leaf,0.5555555555555556,0.5555555555555556,0.5555555555555556,9.0
potato leaf blight,0.375,0.2727272727272727,0.3157894736842105,11.0
potato leaf early blight,0.42857142857142855,0.375,0.4,8.0
potato leaf late blight,0.14285714285714285,0.125,0.13333333333333333,8.0
potato leafroll virus,0.45454545454545453,0.45454545454545453,0.45454545454545453,11.0
raspberry leaf,0.5,0.42857142857142855,0.46153846153846156,7.0
soyabean leaf,0.4,0.75,0.5217391304347826,8.0
squash powdery mildew leaf,0.45454545454545453,0.8333333333333334,0.5882352941176471,6.0
strawberry leaf,0.4444444444444444,1.0,0.6153846153846154,8.0
tomato leaf,0.5,0.21052631578947367,0.2962962962962963,19.0
tomato leaf bacterial spot,0.23809523809523808,0.5,0.3225806451612903,20.0
tomato leaf early blight,0.5,0.5,0.5,20.0
tomato leaf late blight,0.7,0.6666666666666666,0.6829268292682927,21.0
tomato leaf mosaic virus,0.17391304347826086,0.4,0.24242424242424243,10.0
tomato leaf powdery mildew,0.6666666666666666,0.36363636363636365,0.47058823529411764,11.0
tomato leaf yellow virus,0.6,0.5,0.5454545454545454,6.0
tomato mold leaf,0.42857142857142855,0.5294117647058824,0.47368421052631576,17.0
tomato septoria leaf spot,0.5714285714285714,0.18181818181818182,0.27586206896551724,22.0
accuracy,0.5207373271889401,0.5207373271889401,0.5207373271889401,0.5207373271889401
macro avg,0.49954709213917897,0.5130666600183674,0.48571236289784286,434.0
weighted avg,0.5475591484895864,0.5207373271889401,0.5136415652974488,434.0
