,precision,recall,f1-score,support
Apple Leaf,0.6,0.3,0.4,20.0
Apple Rust Leaf,0.5161290322580645,0.5,0.5079365079365079,32.0
Apple Scab leaf,0.2,0.1875,0.1935483870967742,32.0
Corn Gray Leaf Spot,0.3333333333333333,0.26666666666666666,0.2962962962962963,15.0
Corn Leaf,0.5,0.5454545454545454,0.5217391304347826,11.0
Corn Leaf Blight,0.42857142857142855,0.13043478260869565,0.2,23.0
Corn Rust Leaf,0.2727272727272727,0.42857142857142855,0.3333333333333333,21.0
Potato Leaf Blight,0.24074074074074073,0.48148148148148145,0.32098765432098764,27.0
Potato Leafroll Virus,0.3,0.2727272727272727,0.2857142857142857,11.0
Tomato Leaf,0.3333333333333333,0.47368421052631576,0.391304347826087,19.0
Tomato Leaf Bacterial Spot,0.22727272727272727,0.25,0.23809523809523808,20.0
Tomato Leaf Early Blight,0.25,0.1,0.14285714285714285,20.0
Tomato Leaf Late Blight,0.4375,0.3333333333333333,0.3783783783783784,21.0
Tomato Leaf Powdery Mildew,0.2,0.18181818181818182,0.19047619047619047,11.0
Tomato Mold Leaf,0.25,0.47058823529411764,0.32653061224489793,17.0
Tomato Septoria Leaf Spot,0.375,0.13636363636363635,0.2,22.0
accuracy,0.3167701863354037,0.3167701863354037,0.3167701863354037,0.3167701863354037
macro avg,0.34153799176480626,0.3161639859278547,0.3079498440631814,322.0
weighted avg,0.3433752561970855,0.3167701863354037,0.30772251554939895,322.0
