,precision,recall,f1-score,support
Apple Leaf,0.76,0.95,0.8444444444444444,20.0
Apple Rust Leaf,0.9523809523809523,0.625,0.7547169811320755,32.0
Apple Scab leaf,0.6875,0.6875,0.6875,32.0
Corn Gray Leaf Spot,0.4,0.6666666666666666,0.5,15.0
Corn Leaf,0.9090909090909091,0.9090909090909091,0.9090909090909091,11.0
Corn Leaf Blight,0.7142857142857143,0.43478260869565216,0.5405405405405406,23.0
Corn Rust Leaf,0.9,0.8571428571428571,0.8780487804878049,21.0
Potato Leaf Blight,0.5263157894736842,0.7407407407407407,0.6153846153846154,27.0
Potato Leafroll Virus,0.8571428571428571,0.5454545454545454,0.6666666666666666,11.0
Tomato Leaf,0.8823529411764706,0.7894736842105263,0.8333333333333334,19.0
Tomato Leaf Bacterial Spot,0.5,0.3,0.375,20.0
Tomato Leaf Early Blight,0.4,0.6,0.48,20.0
Tomato Leaf Late Blight,0.75,0.7142857142857143,0.7317073170731707,21.0
Tomato Leaf Powdery Mildew,0.8888888888888888,0.7272727272727273,0.8,11.0
Tomato Mold Leaf,0.6875,0.6470588235294118,0.6666666666666666,17.0
Tomato Septoria Leaf Spot,0.52,0.5909090909090909,0.5531914893617021,22.0
accuracy,0.6677018633540373,0.6677018633540373,0.6677018633540373,0.6677018633540373
macro avg,0.7084661282774672,0.6740861479999276,0.6772682340113705,322.0
weighted avg,0.7020616251840172,0.6677018633540373,0.6706917395890382,322.0
