,precision,recall,f1-score,support
Apple Leaf,0.7619047619047619,0.8,0.7804878048780488,20.0
Apple Rust Leaf,0.7575757575757576,0.78125,0.7692307692307693,32.0
Apple Scab leaf,0.5625,0.84375,0.675,32.0
Corn Gray Leaf Spot,0.4230769230769231,0.7333333333333333,0.5365853658536586,15.0
Corn Leaf,0.9090909090909091,0.9090909090909091,0.9090909090909091,11.0
Corn Leaf Blight,0.5714285714285714,0.17391304347826086,0.26666666666666666,23.0
Corn Rust Leaf,0.7272727272727273,0.7619047619047619,0.7441860465116279,21.0
Potato Leaf Blight,0.4,0.5185185185185185,0.45161290322580644,27.0
Potato Leafroll Virus,0.42857142857142855,0.8181818181818182,0.5625,11.0
Tomato Leaf,0.8333333333333334,0.2631578947368421,0.4,19.0
Tomato Leaf Bacterial Spot,0.17647058823529413,0.15,0.16216216216216217,20.0
Tomato Leaf Early Blight,0.5,0.1,0.16666666666666666,20.0
Tomato Leaf Late Blight,0.5714285714285714,0.19047619047619047,0.2857142857142857,21.0
Tomato Leaf Powdery Mildew,0.5384615384615384,0.6363636363636364,0.5833333333333334,11.0
Tomato Mold Leaf,0.6666666666666666,0.5882352941176471,0.625,17.0
Tomato Septoria Leaf Spot,0.3611111111111111,0.5909090909090909,0.4482758620689655,22.0
accuracy,0.546583850931677,0.546583850931677,0.546583850931677,0.546583850931677
macro avg,0.5743058055098496,0.5536927806944381,0.5229070484626812,322.0
weighted avg,0.5724228051411098,0.546583850931677,0.5189332984679667,322.0
