,precision,recall,f1-score,support
Apple Leaf,0.5294117647058824,0.45,0.4864864864864865,20.0
Apple Rust Leaf,0.0,0.0,0.0,32.0
Apple Scab leaf,0.0,0.0,0.0,32.0
Corn Gray Leaf Spot,0.0,0.0,0.0,15.0
Corn Leaf,0.225,0.8181818181818182,0.35294117647058826,11.0
Corn Leaf Blight,0.09236947791164658,1.0,0.16911764705882354,23.0
Corn Rust Leaf,0.0,0.0,0.0,21.0
Potato Leaf Blight,0.0,0.0,0.0,27.0
Potato Leafroll Virus,0.0,0.0,0.0,11.0
Tomato Leaf,0.0,0.0,0.0,19.0
Tomato Leaf Bacterial Spot,0.0,0.0,0.0,20.0
Tomato Leaf Early Blight,0.0,0.0,0.0,20.0
Tomato Leaf Late Blight,0.0,0.0,0.0,21.0
Tomato Leaf Powdery Mildew,0.1,0.09090909090909091,0.09523809523809523,11.0
Tomato Mold Leaf,0.0,0.0,0.0,17.0
Tomato Septoria Leaf Spot,0.0,0.0,0.0,22.0
accuracy,0.13043478260869565,0.13043478260869565,0.13043478260869565,0.13043478260869565
macro avg,0.05917382766359556,0.14744318181818183,0.06898646282837459,322.0
weighted avg,0.05058302262759478,0.13043478260869565,0.057606855903348415,322.0
