,precision,recall,f1-score,support
Apple Leaf,0.47368421052631576,0.45,0.46153846153846156,20.0
Apple Rust Leaf,0.4444444444444444,0.5,0.47058823529411764,32.0
Apple Scab leaf,0.36363636363636365,0.125,0.18604651162790697,32.0
Corn Gray Leaf Spot,0.3,0.4,0.34285714285714286,15.0
Corn Leaf,0.38095238095238093,0.7272727272727273,0.5,11.0
Corn Leaf Blight,0.5454545454545454,0.2608695652173913,0.35294117647058826,23.0
Corn Rust Leaf,0.5,0.38095238095238093,0.43243243243243246,21.0
Potato Leaf Blight,0.35714285714285715,0.37037037037037035,0.36363636363636365,27.0
Potato Leafroll Virus,0.2777777777777778,0.45454545454545453,0.3448275862068966,11.0
Tomato Leaf,0.1875,0.15789473684210525,0.17142857142857143,19.0
Tomato Leaf Bacterial Spot,0.1111111111111111,0.1,0.10526315789473684,20.0
Tomato Leaf Early Blight,0.2857142857142857,0.3,0.2926829268292683,20.0
Tomato Leaf Late Blight,0.26666666666666666,0.19047619047619047,0.2222222222222222,21.0
Tomato Leaf Powdery Mildew,0.25,0.2727272727272727,0.2608695652173913,11.0
Tomato Mold Leaf,0.13953488372093023,0.35294117647058826,0.2,17.0
Tomato Septoria Leaf Spot,0.29411764705882354,0.22727272727272727,0.2564102564102564,22.0
accuracy,0.3136645962732919,0.3136645962732919,0.3136645962732919,0.3136645962732919
macro avg,0.3236085733879064,0.32939516263420054,0.31023403812914724,322.0
weighted avg,0.336827027014017,0.3136645962732919,0.30897289987018645,322.0
