,precision,recall,f1-score,support
Apple Leaf,0.7083333333333334,0.85,0.7727272727272727,20.0
Apple Rust Leaf,0.7586206896551724,0.6875,0.7213114754098361,32.0
Apple Scab leaf,0.625,0.625,0.625,32.0
Corn Gray Leaf Spot,0.5789473684210527,0.7333333333333333,0.6470588235294118,15.0
Corn Leaf,0.45,0.8181818181818182,0.5806451612903226,11.0
Corn Leaf Blight,0.6666666666666666,0.5217391304347826,0.5853658536585366,23.0
Corn Rust Leaf,0.7619047619047619,0.7619047619047619,0.7619047619047619,21.0
Potato Leaf Blight,0.75,0.3333333333333333,0.46153846153846156,27.0
Potato Leafroll Virus,0.5,0.45454545454545453,0.47619047619047616,11.0
Tomato Leaf,0.38095238095238093,0.42105263157894735,0.4,19.0
Tomato Leaf Bacterial Spot,0.3,0.45,0.36,20.0
Tomato Leaf Early Blight,0.3157894736842105,0.6,0.41379310344827586,20.0
Tomato Leaf Late Blight,0.52,0.6190476190476191,0.5652173913043478,21.0
Tomato Leaf Powdery Mildew,0.8333333333333334,0.45454545454545453,0.5882352941176471,11.0
Tomato Mold Leaf,0.75,0.35294117647058826,0.48,17.0
Tomato Septoria Leaf Spot,0.3333333333333333,0.13636363636363635,0.1935483870967742,22.0
accuracy,0.5496894409937888,0.5496894409937888,0.5496894409937888,0.5496894409937888
macro avg,0.5770550838302653,0.551218021858733,0.5395335288885077,322.0
weighted avg,0.5865961407051576,0.5496894409937888,0.545424286230916,322.0
