,precision,recall,f1-score,support
Apple Leaf,1.0,0.9,0.9473684210526315,20.0
Apple Rust Leaf,0.9,0.84375,0.8709677419354839,32.0
Apple Scab leaf,0.8064516129032258,0.78125,0.7936507936507936,32.0
Corn Gray Leaf Spot,0.6,0.6,0.6,15.0
Corn Leaf,1.0,0.9090909090909091,0.9523809523809523,11.0
Corn Leaf Blight,0.7142857142857143,0.6521739130434783,0.6818181818181818,23.0
Corn Rust Leaf,0.8333333333333334,0.9523809523809523,0.8888888888888888,21.0
Potato Leaf Blight,0.8636363636363636,0.7037037037037037,0.7755102040816326,27.0
Potato Leafroll Virus,1.0,0.5454545454545454,0.7058823529411765,11.0
Tomato Leaf,0.75,0.7894736842105263,0.7692307692307693,19.0
Tomato Leaf Bacterial Spot,0.4444444444444444,0.8,0.5714285714285714,20.0
Tomato Leaf Early Blight,0.42857142857142855,0.3,0.35294117647058826,20.0
Tomato Leaf Late Blight,0.7058823529411765,0.5714285714285714,0.631578947368421,21.0
Tomato Leaf Powdery Mildew,0.6666666666666666,0.7272727272727273,0.6956521739130435,11.0
Tomato Mold Leaf,0.631578947368421,0.7058823529411765,0.6666666666666666,17.0
Tomato Septoria Leaf Spot,0.5555555555555556,0.6818181818181818,0.6122448979591837,22.0
accuracy,0.7236024844720497,0.7236024844720497,0.7236024844720497,0.7236024844720497
macro avg,0.7437754012316455,0.7164799713340483,0.7197631712366865,322.0
weighted avg,0.7443461161259546,0.7236024844720497,0.7253545054243148,322.0
