,precision,recall,f1-score,support
Apple Leaf,0.25,0.4,0.3076923076923077,20.0
Apple Rust Leaf,0.0,0.0,0.0,32.0
Apple Scab leaf,0.0,0.0,0.0,32.0
Corn Gray Leaf Spot,0.0,0.0,0.0,15.0
Corn Leaf,0.07563025210084033,0.8181818181818182,0.13846153846153847,11.0
Corn Leaf Blight,0.1,0.043478260869565216,0.06060606060606061,23.0
Corn Rust Leaf,0.11764705882352941,0.09523809523809523,0.10526315789473684,21.0
Potato Leaf Blight,0.0,0.0,0.0,27.0
Potato Leafroll Virus,0.0,0.0,0.0,11.0
Tomato Leaf,0.10526315789473684,0.10526315789473684,0.10526315789473684,19.0
Tomato Leaf Bacterial Spot,0.0,0.0,0.0,20.0
Tomato Leaf Early Blight,0.04411764705882353,0.15,0.06818181818181818,20.0
Tomato Leaf Late Blight,0.0,0.0,0.0,21.0
Tomato Leaf Powdery Mildew,0.08571428571428572,0.2727272727272727,0.13043478260869565,11.0
Tomato Mold Leaf,0.2,0.058823529411764705,0.09090909090909091,17.0
Tomato Septoria Leaf Spot,0.0,0.0,0.0,22.0
accuracy,0.09006211180124224,0.09006211180124224,0.09006211180124224,0.09006211180124224
macro avg,0.06114827509951348,0.12148200839520332,0.06292574464056158,322.0
weighted avg,0.05536562451067384,0.09006211180124224,0.05473683945477796,322.0
