,precision,recall,f1-score,support
Apple Leaf,0.2692307692307692,0.35,0.30434782608695654,20.0
Apple Rust Leaf,0.09090909090909091,0.03125,0.046511627906976744,32.0
Apple Scab leaf,0.15384615384615385,0.125,0.13793103448275862,32.0
Corn Gray Leaf Spot,0.2222222222222222,0.13333333333333333,0.16666666666666666,15.0
Corn Leaf,0.12121212121212122,0.7272727272727273,0.2077922077922078,11.0
Corn Leaf Blight,0.3333333333333333,0.21739130434782608,0.2631578947368421,23.0
Corn Rust Leaf,0.2222222222222222,0.19047619047619047,0.20512820512820512,21.0
Potato Leaf Blight,0.125,0.037037037037037035,0.05714285714285714,27.0
Potato Leafroll Virus,0.0,0.0,0.0,11.0
Tomato Leaf,0.1111111111111111,0.15789473684210525,0.13043478260869565,19.0
Tomato Leaf Bacterial Spot,0.0,0.0,0.0,20.0
Tomato Leaf Early Blight,0.07142857142857142,0.05,0.058823529411764705,20.0
Tomato Leaf Late Blight,0.1346153846153846,0.3333333333333333,0.1917808219178082,21.0
Tomato Leaf Powdery Mildew,0.2,0.36363636363636365,0.25806451612903225,11.0
Tomato Mold Leaf,0.0,0.0,0.0,17.0
Tomato Septoria Leaf Spot,0.0625,0.045454545454545456,0.05263157894736842,22.0
accuracy,0.14906832298136646,0.14906832298136646,0.14906832298136646,0.14906832298136646
macro avg,0.13235193625818625,0.17262997323334137,0.13002584680988372,322.0
weighted avg,0.1351968597310212,0.14906832298136646,0.12533152225390595,322.0
