,precision,recall,f1-score,support
Apple Leaf,0.7272727272727273,0.8,0.7619047619047619,20.0
Apple Rust Leaf,0.88,0.6875,0.7719298245614035,32.0
Apple Scab leaf,0.6428571428571429,0.28125,0.391304347826087,32.0
Corn Gray Leaf Spot,0.46153846153846156,0.8,0.5853658536585366,15.0
Corn Leaf,0.7142857142857143,0.9090909090909091,0.8,11.0
Corn Leaf Blight,0.8461538461538461,0.4782608695652174,0.6111111111111112,23.0
Corn Rust Leaf,0.8181818181818182,0.8571428571428571,0.8372093023255814,21.0
Potato Leaf Blight,0.6666666666666666,0.37037037037037035,0.47619047619047616,27.0
Potato Leafroll Virus,0.47058823529411764,0.7272727272727273,0.5714285714285714,11.0
Tomato Leaf,0.7647058823529411,0.6842105263157895,0.7222222222222222,19.0
Tomato Leaf Bacterial Spot,0.3157894736842105,0.3,0.3076923076923077,20.0
Tomato Leaf Early Blight,0.3142857142857143,0.55,0.4,20.0
Tomato Leaf Late Blight,0.4444444444444444,0.38095238095238093,0.41025641025641024,21.0
Tomato Leaf Powdery Mildew,1.0,0.6363636363636364,0.7777777777777778,11.0
Tomato Mold Leaf,0.4230769230769231,0.6470588235294118,0.5116279069767442,17.0
Tomato Septoria Leaf Spot,0.40625,0.5909090909090909,0.48148148148148145,22.0
accuracy,0.5745341614906833,0.5745341614906833,0.5745341614906833,0.5745341614906833
macro avg,0.6185060656309205,0.6062738869695244,0.588593897213342,322.0
weighted avg,0.625686294032423,0.5745341614906833,0.5750284477168592,322.0
