,precision,recall,f1-score,support
apple leaf,0.3548387096774194,0.55,0.43137254901960786,20.0
apple rust leaf,0.5882352941176471,0.625,0.6060606060606061,32.0
apple scab leaf,0.8235294117647058,0.4375,0.5714285714285714,32.0
bell pepper leaf,0.0,0.0,0.0,8.0
bell pepper leaf spot,0.6666666666666666,0.2222222222222222,0.3333333333333333,9.0
blueberry leaf,0.0,0.0,0.0,11.0
cherry leaf,0.3333333333333333,0.2,0.25,10.0
corn gray leaf spot,0.3157894736842105,0.4,0.35294117647058826,15.0
corn leaf,1.0,0.6363636363636364,0.7777777777777778,11.0
corn leaf blight,0.5555555555555556,0.43478260869565216,0.4878048780487805,23.0
corn rust leaf,0.8571428571428571,0.8571428571428571,0.8571428571428571,21.0
grape leaf,0.5,1.0,0.6666666666666666,12.0
grape leaf black rot,0.25925925925925924,0.875,0.4,8.0
peach leaf,0.6666666666666666,0.2222222222222222,0.3333333333333333,9.0
potato leaf blight,0.20588235294117646,0.6363636363636364,0.3111111111111111,11.0
potato leaf early blight,0.0,0.0,0.0,8.0
potato leaf late blight,0.0,0.0,0.0,8.0
potato leafroll virus,0.36363636363636365,0.36363636363636365,0.36363636363636365,11.0
raspberry leaf,0.3076923076923077,0.5714285714285714,0.4,7.0
soyabean leaf,0.20689655172413793,0.75,0.32432432432432434,8.0
squash powdery mildew leaf,0.625,0.8333333333333334,0.7142857142857143,6.0
strawberry leaf,0.7272727272727273,1.0,0.8421052631578947,8.0
tomato leaf,0.6,0.15789473684210525,0.25,19.0
tomato leaf bacterial spot,0.35714285714285715,0.25,0.29411764705882354,20.0
tomato leaf early blight,0.75,0.15,0.25,20.0
tomato leaf late blight,0.7777777777777778,0.3333333333333333,0.4666666666666667,21.0
tomato leaf mosaic virus,0.3076923076923077,0.8,0.4444444444444444,10.0
tomato leaf powdery mildew,0.75,0.5454545454545454,0.631578947368421,11.0
tomato leaf yellow virus,0.0,0.0,0.0,6.0
tomato mold leaf,0.3548387096774194,0.6470588235294118,0.4583333333333333,17.0
tomato septoria leaf spot,0.47058823529411764,0.36363636363636365,0.41025641025641024,22.0
accuracy,0.45161290322580644,0.45161290322580644,0.45161290322580644,0.45161290322580644
macro avg,0.4427560457651457,0.44717333078078236,0.3944749024169558,434.0
weighted avg,0.5055886892500144,0.45161290322580644,0.4298551538353863,434.0
