,precision,recall,f1-score,support
apple leaf,0.3333333333333333,0.05,0.08695652173913043,20.0
apple rust leaf,0.1875,0.09375,0.125,32.0
apple scab leaf,0.0,0.0,0.0,32.0
bell pepper leaf,0.08,0.25,0.12121212121212122,8.0
bell pepper leaf spot,0.0625,0.1111111111111111,0.08,9.0
blueberry leaf,0.07407407407407407,0.18181818181818182,0.10526315789473684,11.0
cherry leaf,0.0,0.0,0.0,10.0
corn gray leaf spot,0.125,0.06666666666666667,0.08695652173913043,15.0
corn leaf,0.12903225806451613,0.36363636363636365,0.19047619047619047,11.0
corn leaf blight,0.0,0.0,0.0,23.0
corn rust leaf,0.25,0.09523809523809523,0.13793103448275862,21.0
grape leaf,0.03225806451612903,0.08333333333333333,0.046511627906976744,12.0
grape leaf black rot,0.14285714285714285,0.375,0.20689655172413793,8.0
peach leaf,0.0,0.0,0.0,9.0
potato leaf blight,0.08333333333333333,0.18181818181818182,0.11428571428571428,11.0
potato leaf early blight,0.05555555555555555,0.125,0.07692307692307693,8.0
potato leaf late blight,0.047619047619047616,0.125,0.06896551724137931,8.0
potato leafroll virus,0.0,0.0,0.0,11.0
raspberry leaf,0.1,0.14285714285714285,0.11764705882352941,7.0
soyabean leaf,0.058823529411764705,0.125,0.08,8.0
squash powdery mildew leaf,0.1,0.3333333333333333,0.15384615384615385,6.0
strawberry leaf,0.13636363636363635,0.75,0.23076923076923078,8.0
tomato leaf,0.5,0.05263157894736842,0.09523809523809523,19.0
tomato leaf bacterial spot,0.5,0.05,0.09090909090909091,20.0
tomato leaf early blight,0.16666666666666666,0.05,0.07692307692307693,20.0
tomato leaf late blight,0.21428571428571427,0.14285714285714285,0.17142857142857143,21.0
tomato leaf mosaic virus,0.14285714285714285,0.2,0.16666666666666666,10.0
tomato leaf powdery mildew,0.2,0.09090909090909091,0.125,11.0
tomato leaf yellow virus,0.125,0.5,0.2,6.0
tomato mold leaf,0.0,0.0,0.0,17.0
tomato septoria leaf spot,0.5,0.09090909090909091,0.15384615384615385,22.0
accuracy,0.11059907834101383,0.11059907834101383,0.11059907834101383,0.11059907834101383
macro avg,0.1402277257721954,0.14938288107855172,0.10031135916373941,434.0
weighted avg,0.1660685617912749,0.11059907834101383,0.09250145793632418,434.0
